"name",code,"constituency_id"
"ABAKO", 4,"AJURI COUNTY"
"ABANGA", 8,"OKORO COUNTY"
"ABARILELA", 1,"AMURIA COUNTY"
"ABER", 1,"OYAM COUNTY SOUTH"
"ABIA", 6,"MOROTO COUNTY"
"ABIM", 1,"LABWOR COUNTY"
"ABIM TOWN COUNCIL", 6,"LABWOR COUNTY"
"ABOK", 7,"OYAM COUNTY NORTH"
"ABOKE", 1,"KOLE COUNTY"
"ABONGOMOLA", 5,"KWANIA COUNTY"
"ABUKU", 6,"KOBOKO COUNTY"
"ACHABA", 1,"OYAM COUNTY NORTH"
"ACHOLI-BUR", 1,"ARUU COUNTY"
"ACOWA", 1,"KAPELEBYONG COUNTY"
"ADEKNINO", 7,"DOKOLO COUNTY"
"ADEKOKWOK", 1,"ERUTE COUNTY SOUTH"
"ADILANG", 1,"AGAGO COUNTY"
"ADJUMANI TOWN COUNCIL", 1,"EAST MOYO COUNTY"
"ADOK", 8,"DOKOLO COUNTY"
"ADROPI", 2,"EAST MOYO COUNTY"
"ADUKU", 1,"KWANIA COUNTY"
"ADUKU TOWN COUNCIL", 6,"KWANIA COUNTY"
"ADUMI", 1,"AYIVU COUNTY"
"ADWARI", 1,"OTUKE COUNTY"
"ADYEL", 1,"LIRA MUNICIPALITY"
"AGALI", 4,"ERUTE COUNTY SOUTH"
"AGIKDAK", 6,"KIOGA COUNTY"
"AGORO", 1,"LAMWO COUNTY"
"AGULE", 1,"AGULE COUNTY"
"AGWATTA", 1,"DOKOLO COUNTY"
"AGWENG", 4,"ERUTE COUNTY NORTH"
"AGWINGIRI", 7,"KIOGA COUNTY"
"AII-VU/AJIVU", 1,"TEREGO COUNTY"
"AJIA", 1,"VURRA COUNTY"
"AKALO", 2,"KOLE COUNTY"
"AKISIM", 10,"AGULE COUNTY"
"AKOKORO", 1,"MARUZI COUNTY"
"AKURA", 7,"MOROTO COUNTY"
"AKWANG", 9,"CHUA COUNTY"
"AKWON", 8,"KIOGA COUNTY"
"AKWORO", 1,"PADYERE COUNTY"
"ALEBTONG TOWN COUNCIL", 2,"MOROTO COUNTY"
"ALEKA", 6,"OYAM COUNTY NORTH"
"ALEREK", 2,"LABWOR COUNTY"
"ALERO", 1,"NWOYA COUNTY"
