"name",code,"country_id"
"ABIM", 70,"Uganda"
"ADJUMANI", 40,"Uganda"
"AGAGO", 111,"Uganda"
"ALEBTONG", 88,"Uganda"
"AMOLATAR", 57,"Uganda"
"AMUDAT", 81,"Uganda"
"AMURIA", 58,"Uganda"
"AMURU", 71,"Uganda"
"APAC", 1,"Uganda"
"ARUA", 2,"Uganda"
"BUDAKA", 72,"Uganda"
"BUDUDA", 78,"Uganda"
"BUGIRI", 41,"Uganda"
"BUHWEJU", 109,"Uganda"
"BUIKWE", 82,"Uganda"
"BUKEDEA", 79,"Uganda"
"BUKOMANSIMBI", 98,"Uganda"
"BUKWO", 59,"Uganda"
"BULAMBULI", 89,"Uganda"
"BULIISA", 73,"Uganda"
"BUNDIBUGYO", 3,"Uganda"
"BUSHENYI", 4,"Uganda"
"BUSIA", 42,"Uganda"
"BUTALEJA", 60,"Uganda"
"BUTAMBALA", 99,"Uganda"
"BUVUMA", 90,"Uganda"
"BUYENDE", 83,"Uganda"
"DOKOLO", 74,"Uganda"
"GOMBA", 91,"Uganda"
"GULU", 5,"Uganda"
"HOIMA", 6,"Uganda"
"IBANDA", 61,"Uganda"
"IGANGA", 7,"Uganda"
"ISINGIRO", 62,"Uganda"
"JINJA", 8,"Uganda"
"KAABONG", 63,"Uganda"
"KABALE", 9,"Uganda"
"KABAROLE", 10,"Uganda"
"KABERAMAIDO", 54,"Uganda"
"KALANGALA", 11,"Uganda"
"KALIRO", 64,"Uganda"
"KALUNGU", 100,"Uganda"
"KAMPALA", 12,"Uganda"
"KAMULI", 13,"Uganda"
"KAMWENGE", 46,"Uganda"
"KANUNGU", 55,"Uganda"
"KAPCHORWA", 14,"Uganda"
"KASESE", 15,"Uganda"
"KATAKWI", 43,"Uganda"
"KAYUNGA", 47,"Uganda"
"KIBAALE", 16,"Uganda"
"KIBOGA", 17,"Uganda"
"KIBUKU", 102,"Uganda"
"KIRUHURA", 65,"Uganda"
"KIRYANDONGO", 92,"Uganda"
"KISORO", 18,"Uganda"
"KITGUM", 19,"Uganda"
"KOBOKO", 66,"Uganda"
"KOLE", 103,"Uganda"
"KOTIDO", 20,"Uganda"
"KUMI", 21,"Uganda"
"KWEEN", 104,"Uganda"
"KYANKWANZI", 93,"Uganda"
"KYEGEGWA", 84,"Uganda"
"KYENJOJO", 48,"Uganda"
"LAMWO", 85,"Uganda"
"LIRA", 22,"Uganda"
"LUUKA", 94,"Uganda"
"LUWEERO", 23,"Uganda"
"LWENGO", 105,"Uganda"
"LYANTONDE", 80,"Uganda"
"MANAFWA", 67,"Uganda"
"MARACHA", 77,"Uganda"
"MASAKA", 24,"Uganda"
"MASINDI", 25,"Uganda"
"MAYUGE", 49,"Uganda"
"MBALE", 26,"Uganda"
"MBARARA", 27,"Uganda"
"MITOOMA", 106,"Uganda"
"MITYANA", 68,"Uganda"
"MOROTO", 28,"Uganda"
"MOYO", 29,"Uganda"
"MPIGI", 30,"Uganda"
"MUBENDE", 31,"Uganda"
"MUKONO", 32,"Uganda"
"NAKAPIRIPIRIT", 56,"Uganda"
"NAKASEKE", 69,"Uganda"
"NAKASONGOLA", 44,"Uganda"
"NAMAYINGO", 95,"Uganda"
"NAMUTUMBA", 75,"Uganda"
"NAPAK", 107,"Uganda"
"NEBBI", 33,"Uganda"
"NGORA", 108,"Uganda"
"NTOROKO", 96,"Uganda"
"NTUNGAMO", 34,"Uganda"
"NWOYA", 110,"Uganda"
"OTUKE", 86,"Uganda"
"OYAM", 76,"Uganda"
"PADER", 50,"Uganda"
"PALLISA", 35,"Uganda"
"RAKAI", 36,"Uganda"
"RUBIRIZI", 112,"Uganda"
"RUKUNGIRI", 37,"Uganda"
"SERERE", 97,"Uganda"
"SHEEMA", 101,"Uganda"
"SIRONKO", 51,"Uganda"
"SOROTI", 38,"Uganda"
"SSEMBABULE", 45,"Uganda"
"TORORO", 39,"Uganda"
"WAKISO", 52,"Uganda"
"YUMBE", 53,"Uganda"
"ZOMBO", 87,"Uganda"
