"name",code,"county_id"
"AGAGO COUNTY", 89,"AGAGO"
"AGULE COUNTY", 234,"AGULE"
"AJURI COUNTY", 216,"AJURI"
"AMURIA COUNTY", 199,"AMURIA"
"ARINGA COUNTY", 6,"ARINGA"
"ARUA MUNICIPALITY", 13,"ARUA MUNICIPALITY"
"ARUU COUNTY", 90,"ARUU"
"ASWA COUNTY", 23,"ASWA"
"AYIVU COUNTY", 7,"AYIVU"
"BAMUNANIKA COUNTY", 110,"BAMUNANIKA"
"BBALE COUNTY", 171,"BBALE"
"BOKORA COUNTY", 145,"BOKORA"
"BUBULO COUNTY EAST", 127,"BUBULO"
"BUBULO COUNTY WEST", 126,"BUBULO"
"BUDADIRI COUNTY EAST", 128,"BUDADIRI"
"BUDADIRI COUNTY WEST", 129,"BUDADIRI"
"BUDAKA COUNTY", 187,"BUDAKA"
"BUDIOPE EAST COUNTY", 217,"BUDIOPE EAST"
"BUDIOPE WEST COUNTY", 69,"BUDIOPE WEST"
"BUDYEBO COUNTY", 218,"BUDYEBO"
"BUFUMBIRA COUNTY EAST", 86,"BUFUMBIRA"
"BUFUMBIRA COUNTY NORTH", 87,"BUFUMBIRA"
"BUFUMBIRA COUNTY SOUTH", 88,"BUFUMBIRA"
"BUGABULA COUNTY NORTH", 70,"BUGABULA"
"BUGABULA COUNTY SOUTH", 71,"BUGABULA"
"BUGAHYA COUNTY", 28,"BUGAHYA"
"BUGANGAIZI EAST COUNTY", 219,"BUGANGAIZI EAST"
"BUGANGAIZI WEST COUNTY", 81,"BUGANGAIZI WEST"
"BUGHENDERA COUNTY", 215,"BUGHENDERA"
"BUGWERI COUNTY", 30,"BUGWERI"
"BUHAGUZI COUNTY", 29,"BUHAGUZI"
"BUHWEJU COUNTY", 16,"BUHWEJU"
"BUIKWE COUNTY NORTH", 172,"BUIKWE"
"BUIKWE COUNTY SOUTH", 174,"BUIKWE"
"BUIKWE COUNTY WEST", 173,"BUIKWE"
"BUJENJE COUNTY", 122,"BUJENJE"
"BUJUMBA COUNTY", 59,"BUJUMBA"
"BUKANGA COUNTY", 135,"BUKANGA"
"BUKEDEA COUNTY", 96,"BUKEDEA"
