"name",code,"parish_id"
"1.1", 1,"KAKIRA WARD"
"1ST JENGE", 1,"WEST LAND WARD"
"2ND JENGE", 2,"WEST LAND WARD B"
"A1 CELL", 1,"CAMP SWAHILI WARD"
"A2 CELL", 2,"CAMP SWAHILI WARD"
"A3 CELL", 3,"CAMP SWAHILI WARD"
"A4 CELL", 4,"CAMP SWAHILI WARD"
"A5 CELL", 5,"CAMP SWAHILI WARD"
"A6 CELL", 6,"CAMP SWAHILI WARD"
"A7/8 CELL", 7,"CAMP SWAHILI WARD"
"AAKUM", 1,"AAKUM"
"AANGA", 1,"ADRIPI"
"AARAPOO", 1,"AARAPOO"
"AARATOM", 7,"KATINE"
"ABAA", 1,"ANYUFIRA"
"ABACHI", 1,"NYOKE"
"ABADE", 1,"AGANGA"
"ABADMUNO", 1,"IWAL"
"ABAITA ABABIRI", 1,"NKUMBA"
"ABAK", 1,"APUA"
"ABAK ALITO", 17,"AMUGE"
"ABAK CENTRAL", 18,"AMUGE"
"ABAK TWOMERE", 1,"ORET"
"ABAKA DYEL", 1,"AKOBI"
"ABAKA DYEL WEST", 24,"AKOBI"
"ABAKIRAO 'A'", 1,"OMACH"
"ABAKIRAO 'B'", 2,"OMACH"
"ABAKO", 1,"OPETA"
"ABAKO 'A'", 2,"AYALA-OYA"
"ABAKO DIP", 1,"AYALA-OYA"
"ABAKO EAST", 30,"AMWA"
"ABAKO KONA", 1,"OJUL"
"ABAKO TRADING CENTRE", 1,"OLYAKA"
"ABAKO-OR", 1,"KAL"
"ABAKOKWO", 1,"ALEBTONG"
"ABAKRA", 1,"ABAR EAST"
"ABAKULI", 1,"AWELU"
"ABAKULI A", 1,"RAO"
"ABAKULI B", 2,"RAO"
"ABAL", 1,"ANYARA"
"ABALA", 1,"DOGAPIO"
"ABALALAI", 2,"ABUTADI"
"ABALANG", 1,"ALOET"
"ABALASOMA", 1,"PASAI"
"ABALATEI", 1,"ANYOLA"
"ABALER B", 10,"KABANGALA"
"ABALI", 1,"ACUNGI"
"ABALO KODI", 1,"LAMINAJIKO"
"ABALO KOTI", 1,"OPUK"
"ABALODAK", 1,"OTARA"
"ABALODYANG", 1,"ABALODYANG"
"ABALOKARA", 1,"AMOILELA"
"ABALOKWERI", 1,"ONGOCENG"
"ABALU", 1,"ANGETTA"
"ABALWONGI", 2,"ACIMI"
"ABAM", 1,"CUBU"
"ABAM CORNER", 1,"ARWOT-OMITO"
"ABAM EAST", 8,"CUBU"
"ABANEKA", 11,"DURE"
"ABANG IMALO", 2,"AMWA"
"ABANG IPINY", 3,"AMWA"
"ABANG TRADING CENTRE", 31,"AMWA"
"ABANGI", 1,"KASENENE"
"ABANGKWON", 1,"AKUROLANGO"
"ABANGO", 1,"APAPAI"
"ABANGOIMANY", 1,"ABANGOIMANY"
"ABANGOLAM", 1,"AUMI"
"ABANY", 1,"ABUNGA"
"ABANYA", 1,"EASTERN WARD"
"ABANYA 'B'", 1,"KAMDINI"
"ABANYA A", 1,"PUKICA"
"ABANYIMALO", 1,"ABANY"
"ABANYIPINY", 2,"ABANY"
"ABAPIRI", 1,"ATULE"
"ABAR WINYO", 19,"AMUGE"
"ABARA", 1,"OMBAVU"
"ABARGWENG", 1,"OCOKOBER"
"ABARI", 1,"KIREWA"
"ABARI A", 1,"OCULOI"
"ABARI B", 2,"OCULOI"
"ABARI KORI", 1,"ABARIKORI"
"ABARILELA", 1,"OJAMA"
"ABARILOP", 4,"ALEMERE"
"ABARIO", 1,"AWUVU"
"ABARITUK", 1,"ALITO"
"ABARLELA", 1,"ACANPII"
"ABARLER", 1,"ATANA"
"ABARLER A", 1,"MUNTU"
"ABAROCAO", 1,"ABWONG"
"ABAROLAM", 1,"ADEKNINO"
"ABAROLOT A", 1,"BARRIO"
"ABAROLOT B", 2,"BARRIO"
"ABARUWALU", 1,"SWAGERE"
"ABAS", 6,"LUWAFU"
"ABAT", 1,"AGAGWOO"
"ABATA", 1,"AGIRIGIROI"
"ABATAI", 1,"ABATAI"
"ABATAIT", 9,"APUUTON"
"ABATAPO", 1,"AMILO"
"ABATTOIR", 7,"KIBIRA WARD"
"ABEBENG", 2,"AJERIJERI"
"ABEDI", 1,"ACANPI"
"ABEDI A", 1,"KIDILANI"
"ABEDI B", 10,"KIDILANI"
"ABEDIWORO", 1,"ADYANG"
"ABEDMOT", 1,"ABWOCKWAR"
"ABEDO BER", 3,"AYALA-OYA"
"ABEDOBER", 1,"AMORIGOGA"
"ABEDOOBER", 1,"ODYEDO"
"ABEDPINY", 1,"ADEKOKWOK"
"ABEI", 2,"ATULE"
"ABEI BUTI", 1,"ATEKOBER"
