"name",code,"subcounty_id"
"AAKUM", 37,"ONGINO"
"AARAPOO", 9,"LABOR"
"ABALA", 9,"AGWENG"
"ABALANG", 1,"ALWA"
"ABALODYANG", 28,"AKWON"
"ABANGA", 30,"ZEU"
"ABANGOIMANY", 32,"ABIA"
"ABANY", 6,"ABONGOMOLA"
"ABANYA", 1,"ACHABA"
"ABAR EAST", 5,"NDHEW"
"ABAR WEST", 40,"NDHEW"
"ABARA", 43,"ODRAVU"
"ABARIKORI", 17,"AGIKDAK"
"ABARLER", 29,"MUNTU"
"ABATAI", 39,"KAPIR"
"ABEDI", 11,"APAC"
"ABEDMOT", 22,"INOMO"
"ABEJA", 27,"ARWOTCEK"
"ABEJU", 16,"NYAPEA"
"ABEKO", 17,"MORUNGATUNY"
"ABELA", 4,"KATAKWI"
"ABELI", 8,"AKALO"
"ABENYO", 33,"DOKOLO"
"ABERIDWOGO", 33,"ABIA"
"ABIA", 11,"KUJU"
"ABIITING", 20,"APALA"
"ABILAEP", 51,"KOLIR"
"ABILIYEP", 7,"LOROO"
"ABINDI", 9,"BELEAFE"
"ABINDU WARD", 34,"NEBBI TOWN COUNCIL"
"ABIRA EAST WARD", 17,"ZOMBO TOWN COUNCIL"
"ABIRA WEST WARD", 56,"ZOMBO TOWN COUNCIL"
"ABIRABIRA", 4,"APERIKIRA"
"ABOCHET", 30,"BUTEBA"
"ABOK", 16,"ALWI"
"ABOKO", 8,"ADUKU"
"ABONGO", 6,"ERUSSI"
"ABONGOATIN", 14,"AMUGU"
"ABONGORWOT", 8,"AGALI"
"ABUBUR", 2,"ATUTUR"
"ABUKAMOLA", 24,"OMORO"
"ABUKET", 22,"KYERE"
"ABULI", 13,"NAMBIESO"
"ABUNGA", 16,"BARR"
"ABUR", 17,"AYER"
"ABURCERO", 34,"AMWOMA"
"ABURKIDI", 37,"ARWOTCEK"
"ABURKOT WARD", 30,"AMOLATAR TOWN COUNCIL"
"ABUTADI", 24,"AMACH"
"ABWANGET", 5,"KATAKWI"
"ABWOCH", 23,"ONGAKO"
"ABWOCKWAR", 34,"ETAM"
"ABWOCOLIL", 9,"AMACH"
"ABWOKODIA", 46,"USUK"
"ABWONG", 4,"ABONGOMOLA"
"ABYENEK", 8,"BATTA"
"ACABA", 15,"NAMBIESO"
"ACANGA", 16,"PALAM"
"ACANPI", 5,"KABERAMAIDO"
"ACANPII", 35,"DOKOLO"
"ACEDE", 1,"AWEI"
"ACEGERETOLIM", 9,"NABILATUK"
"ACELELA", 28,"AGWENG"
"ACENLWORO", 17,"CAWENTE"
"ACENO", 1,"MINAKULU"
"ACETGWEN", 33,"SOROTI"
"ACHANGALI", 19,"LOTUKEI"
"ACHERER", 6,"NADUNGET"
"ACHOL-PII", 13,"ARUM"
"ACHOLI", 22,"APO"
"ACHORICHOR", 8,"LOROO"
"ACHUNA", 24,"TUBUR"
"ACII", 21,"NAMASALE"
"ACIISA", 9,"KOBWIN"
"ACIMI", 22,"MYENE"
"ACINGA", 26,"ACOWA"
"ACOKARA", 19,"OTWAL"
"ACORO WARD", 28,"PADER TOWN COUNCIL"
"ACOTO", 36,"AGWATTA"
"ACOWA", 1,"ACOWA"
"ACOYO", 9,"KORO"
"ACUNGI", 5,"ABONGOMOLA"
"ACUT", 22,"NGAI"
"ACUTKUMU", 16,"AROMO"
"ACWERA", 18,"KUCWINY"
"ADACAR", 30,"ASURET"
"ADAGMON", 19,"DOKOLO"
"ADAGNYEKO", 37,"OKWALONGWEN"
"ADAKUN", 38,"ORUNGO"
"ADAL", 5,"APOPONG"
"ADALAFU", 26,"PAJULU"
"ADEA", 10,"MORULEM"
"ADEKNINO", 20,"ADEKNINO"
"ADEKOKWOK", 1,"ADEKOKWOK"
"ADEL", 2,"MINAKULU"
"ADEL-LOGO", 13,"ALITO"
"ADEM", 28,"CHEGERE"
"ADEMI", 39,"LIRA-PALWO"
"ADER", 33,"OTWAL"
"ADEROLONGO", 9,"OKWALONGWEN"
"ADIDI", 43,"DZAIPI"
"ADIGO", 15,"LORO"
"ADODOI", 42,"CHELEKURA"
"ADOK", 1,"ADOK"
"ADOLA", 25,"AMACH"
"ADOLO", 41,"NDHEW"
"ADONGORO WARD", 40,"MARACHA TOWN COUNCIL"
"ADONYIMO", 1,"APUTI"
"ADRAA", 2,"OFFAKA"
"ADRIPI", 31,"BELEAFE"
"ADUL", 54,"MUKURA"
"ADWILA", 21,"KANGAI"
"ADWOA", 18,"OGUR"
"ADWOKI", 2,"AGWATTA"
"ADWONG-OWOR", 38,"ADEKNINO"
"ADYAKA", 10,"AGALI"
"ADYANG", 6,"AKALO"
"ADYEDA", 1,"ADUKU"
"ADYEGI", 12,"ABER"
"AFFERE", 39,"WARR"
"AFUDA", 41,"JANGOKORO"
"AGAGO CENTRAL WARD", 71,"LOKOLE TOWN COUNCIL"
"AGAGWOO", 39,"AMWOMA"
"AGANGA", 19,"IBUJE"
"AGARIA", 24,"MUKONGORO"
"AGEGE", 24,"BALLA"
"AGELEC", 14,"ARUM"
"AGENGO", 7,"LIRA-PALWO"
"AGENI", 31,"OKWONGODUL"
"AGIKDAK", 2,"AGIKDAK"
"AGIRIGIROI", 1,"KAPIR"
"AGOGA", 41,"KWERA"
"AGOGOMIT", 51,"MUKURA"
"AGOJO", 44,"CIFORO"
"AGOLITOM", 59,"KUMI"
"AGONG", 29,"CHEGERE"
"AGONGA", 5,"BUNGATIRA"
"AGORA", 13,"KAMUDA"
"AGU", 25,"NGORA"
"AGULE", 38,"KAPIR"
"AGULURUDE", 17,"LORO"
"AGURUR", 28,"KIBALE"
"AGURURU A", 4,"TORORO WESTERN"
"AGURURU B", 5,"TORORO WESTERN"
"AGUURUT", 32,"NYERO"
"AGWAR", 34,"ALEKA"
"AGWARA", 58,"KUJU"
"AGWARYUGI", 16,"LAMOGI"
"AGWEE", 2,"LAROO"
"AGWENG", 26,"ADWARI"
"AGWENONYWAL", 35,"AGWINGIRI"
"AGWICIRI", 21,"INOMO"
"AGWINGIRI", 36,"AGWINGIRI"
"AIRABET", 7,"KAPELEBYONG"
"AISA", 5,"NAMANYONYI"
"AITA", 46,"ORUNGO"
"AJAKI", 7,"ASAMUK"
"AJALI WARD", 10,"LOKOLE TOWN COUNCIL"
"AJAR", 28,"CAWENTE"
"AJELO", 66,"KAPIR"
"AJELUK", 48,"MUKURA"
"AJEPET", 8,"GOGONYO"
"AJERIJERI", 13,"ABOK"
"AJESA", 2,"KAPIR"
"AJIA", 1,"AJIA"
"AJIBA", 43,"ADEKNINO"
"AJIBU", 8,"OKOLLO"
"AJIPALA", 34,"LOBULE"
"AJIRAKU", 8,"BELEAFE"
"AJOK", 23,"INOMO"
"AJONO", 14,"VURRA"
"AJONYI", 16,"AMUGU"
"AJUGOPI", 7,"DZAIPI"
"AJUKET", 33,"KAPIR"
"AJUL", 16,"ALEKA"
"AKADO WARD", 50,"KALONGO TOWN COUNCIL"
"AKADOT", 64,"MUKONGORO"
"AKAGO WARD", 13,"ANAKA TOWN COUNCIL"
"AKAKA", 8,"ABER"
"AKAKU", 25,"KANYARYERU"
